Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Letter,Zone
1700075610.3770156,0,69210,0,GPS1_frame,42.33700180053711,-71.08981323242188,5.300000190734863,1.0,327838.9375,4689309.0,19:13:30,T,19
1700075611.4037447,0,69211,0,GPS1_frame,42.33700180053711,-71.08981323242188,5.300000190734863,1.0,327838.9375,4689309.0,19:13:31,T,19
1700075613.4163158,0,69213,0,GPS1_frame,42.33700180053711,-71.08981323242188,5.400000095367432,1.0,327838.9375,4689309.0,19:13:33,T,19
1700075614.3761408,0,69214,0,GPS1_frame,42.33700180053711,-71.08981323242188,5.400000095367432,1.0,327838.9375,4689309.0,19:13:34,T,19
1700075615.3723016,0,69215,0,GPS1_frame,42.33700180053711,-71.08981323242188,5.400000095367432,1.0,327838.9375,4689309.0,19:13:35,T,19
1700075616.3641398,0,69216,0,GPS1_frame,42.33700180053711,-71.08981323242188,5.400000095367432,1.0,327838.9375,4689309.0,19:13:36,T,19
1700075619.3684163,0,69219,0,GPS1_frame,42.33700180053711,-71.0898208618164,5.400000095367432,1.0,327838.8125,4689309.0,19:13:39,T,19
1700075620.3599148,0,69220,0,GPS1_frame,42.33700180053711,-71.0898208618164,5.400000095367432,1.0,327838.8125,4689309.0,19:13:40,T,19
1700075621.3847053,0,69221,0,GPS1_frame,42.33700180053711,-71.0898208618164,5.400000095367432,1.0,327838.8125,4689309.0,19:13:41,T,19
1700075624.3603144,0,69224,0,GPS1_frame,42.33699417114258,-71.08981323242188,6.400000095367432,1.0,327838.9375,4689308.5,19:13:44,T,19
1700075625.383752,0,69225,0,GPS1_frame,42.33699035644531,-71.08980560302734,6.800000190734863,1.0,327839.75,4689308.0,19:13:45,T,19
1700075626.3760881,0,69226,0,GPS1_frame,42.33698272705078,-71.08979034423828,6.900000095367432,1.0,327840.9375,4689307.0,19:13:46,T,19
1700075629.3844264,0,69229,0,GPS1_frame,42.33696365356445,-71.08971405029297,7.699999809265137,1.0,327847.5,4689305.0,19:13:49,T,19
1700075630.3755643,0,69230,0,GPS1_frame,42.33696365356445,-71.08967590332031,8.0,1.0,327850.25,4689305.0,19:13:50,T,19
1700075631.372204,0,69231,0,GPS1_frame,42.33697509765625,-71.08964538574219,8.600000381469727,1.0,327853.0,4689306.0,19:13:51,T,19
1700075633.3843768,0,69233,0,GPS1_frame,42.337005615234375,-71.0895767211914,9.100000381469727,1.0,327858.59375,4689309.5,19:13:53,T,19
1700075634.3757653,0,69234,0,GPS1_frame,42.337032318115234,-71.08955383300781,9.199999809265137,1.0,327860.71875,4689312.0,19:13:54,T,19
1700075635.3684392,0,69235,0,GPS1_frame,42.33705520629883,-71.08953857421875,9.300000190734863,1.0,327862.03125,4689315.0,19:13:55,T,19
1700075636.3607419,0,69236,0,GPS1_frame,42.33708190917969,-71.08953094482422,9.300000190734863,1.0,327862.78125,4689318.0,19:13:56,T,19
1700075639.3678918,0,69239,0,GPS1_frame,42.3371696472168,-71.08954620361328,9.300000190734863,1.0,327861.78125,4689327.5,19:13:59,T,19
1700075640.3603778,0,69240,0,GPS1_frame,42.337196350097656,-71.08956909179688,9.399999618530273,1.0,327859.78125,4689330.5,19:14:00,T,19
1700075641.3877707,0,69241,0,GPS1_frame,42.337215423583984,-71.089599609375,9.5,1.0,327857.25,4689332.5,19:14:01,T,19
1700075644.3600967,0,69244,0,GPS1_frame,42.337223052978516,-71.08971405029297,9.699999809265137,1.0,327848.1875,4689333.5,19:14:04,T,19
1700075645.3840904,0,69245,0,GPS1_frame,42.33720779418945,-71.0897445678711,9.800000190734863,1.0,327845.40625,4689332.0,19:14:05,T,19
1700075646.3764627,0,69246,0,GPS1_frame,42.33718490600586,-71.08977508544922,9.899999618530273,1.0,327842.59375,4689330.0,19:14:06,T,19
1700075649.3846054,0,69249,0,GPS1_frame,42.337093353271484,-71.08984375,10.0,1.0,327836.84375,4689319.5,19:14:09,T,19
1700075650.3765228,0,69250,0,GPS1_frame,42.33705520629883,-71.08985137939453,10.100000381469727,1.0,327836.46875,4689315.5,19:14:10,T,19
1700075651.3684921,0,69251,0,GPS1_frame,42.3370246887207,-71.08983612060547,10.300000190734863,1.0,327837.34375,4689312.0,19:14:11,T,19
1700075654.375968,0,69254,0,GPS1_frame,42.33696365356445,-71.0897445678711,10.699999809265137,1.0,327845.03125,4689305.0,19:14:14,T,19
1700075655.3678896,0,69255,0,GPS1_frame,42.33695983886719,-71.0896987915039,10.899999618530273,1.0,327848.59375,4689304.5,19:14:15,T,19
1700075656.3962026,0,69256,0,GPS1_frame,42.33696746826172,-71.08965301513672,11.100000381469727,1.0,327852.3125,4689305.0,19:14:16,T,19
1700075659.3730388,0,69259,0,GPS1_frame,42.337039947509766,-71.08955383300781,11.600000381469727,1.0,327860.875,4689313.0,19:14:19,T,19
1700075660.3921258,0,69260,0,GPS1_frame,42.337074279785156,-71.08953857421875,11.600000381469727,1.0,327862.21875,4689317.0,19:14:20,T,19
1700075661.416312,0,69261,0,GPS1_frame,42.33710861206055,-71.08953094482422,11.5,1.0,327862.59375,4689321.0,19:14:21,T,19
1700075664.3925502,0,69264,0,GPS1_frame,42.33720016479492,-71.08960723876953,11.199999809265137,1.0,327856.90625,4689330.5,19:14:24,T,19
1700075665.384833,0,69265,0,GPS1_frame,42.33721160888672,-71.08965301513672,11.100000381469727,1.0,327853.25,4689332.0,19:14:25,T,19
1700075666.376769,0,69266,0,GPS1_frame,42.33721160888672,-71.0896987915039,11.0,1.0,327849.40625,4689332.0,19:14:26,T,19
1700075669.3844228,0,69269,0,GPS1_frame,42.3371467590332,-71.08981323242188,10.800000190734863,1.0,327839.625,4689325.5,19:14:29,T,19
1700075670.3761802,0,69270,0,GPS1_frame,42.33710861206055,-71.08983612060547,10.800000190734863,1.0,327837.71875,4689321.0,19:14:30,T,19
1700075671.3689816,0,69271,0,GPS1_frame,42.33707046508789,-71.08984375,10.800000190734863,1.0,327836.78125,4689317.0,19:14:31,T,19
1700075674.376648,0,69274,0,GPS1_frame,42.33697509765625,-71.08979034423828,10.899999618530273,1.0,327841.34375,4689306.5,19:14:34,T,19
1700075675.3688357,0,69275,0,GPS1_frame,42.33695983886719,-71.0897445678711,11.100000381469727,1.0,327844.875,4689304.5,19:14:35,T,19
1700075676.3924787,0,69276,0,GPS1_frame,42.336952209472656,-71.08969116210938,11.199999809265137,1.0,327849.25,4689303.5,19:14:36,T,19
1700075679.3687246,0,69279,0,GPS1_frame,42.33701705932617,-71.08955383300781,11.800000190734863,1.0,327860.8125,4689310.5,19:14:39,T,19
1700075680.3928418,0,69280,0,GPS1_frame,42.33705139160156,-71.08953094482422,11.899999618530273,1.0,327862.5625,4689314.5,19:14:40,T,19
1700075681.3851151,0,69281,0,GPS1_frame,42.33708953857422,-71.08952331542969,12.100000381469727,1.0,327863.34375,4689318.5,19:14:41,T,19
1700075684.3958027,0,69284,0,GPS1_frame,42.337196350097656,-71.0895767211914,12.0,1.0,327859.09375,4689330.5,19:14:44,T,19
1700075685.3879907,0,69285,0,GPS1_frame,42.33721160888672,-71.08961486816406,11.899999618530273,1.0,327855.875,4689332.5,19:14:45,T,19
