Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,raw
1700075610.1019955,0,1700075610,96237421,IMU1_Frame,0,1700075610,96237421,IMU1_Frame,-0.031318265234404216,-0.002038854433389248,0.9986912290699205,0.040383639188646535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000669,-0.000511,0.000483,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.628,0.075,-9.622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,96237421,IMU1_Frame,-2.3860000000000002e-05,-1.46e-06,3.129e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.357,+003.577,-000.379,-00.2386,-00.0146,+00.3129,+00.628,+00.075,-09.622,-00.000669,-00.000511,+00.000483*60
"
1700075610.128345,0,1700075610,121277093,IMU1_Frame,0,1700075610,121277093,IMU1_Frame,-0.03131787738209437,-0.002030685808617018,0.9986919515043828,0.040366482033912965,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.6e-05,-2e-05,-0.000718,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.596,0.068,-9.671,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,121277093,IMU1_Frame,-2.387e-05,-1.72e-06,3.137e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.359,+003.577,-000.378,-00.2387,-00.0172,+00.3137,+00.596,+00.068,-09.671,-00.000096,-00.000020,-00.000718*6C
"
1700075610.1537323,0,1700075610,146591901,IMU1_Frame,0,1700075610,146591901,IMU1_Frame,-0.03131856403096457,-0.0020483895771814253,0.9986922681313318,0.040357220195079924,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001066,0.000463,-0.000375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.595,0.075,-9.612,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,146591901,IMU1_Frame,-2.393e-05,-1.72e-06,3.129e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.360,+003.577,-000.380,-00.2393,-00.0172,+00.3129,+00.595,+00.075,-09.612,-00.001066,+00.000463,-00.000375*65
"
1700075610.176877,0,1700075610,171400785,IMU1_Frame,0,1700075610,171400785,IMU1_Frame,-0.03131854615420081,-0.002048662883133082,0.9986926202764892,0.04034850495939715,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000177,0.000214,0.001508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.607,0.087,-9.626,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,171400785,IMU1_Frame,-2.3860000000000002e-05,-1.33e-06,3.166e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.361,+003.577,-000.380,-00.2386,-00.0133,+00.3166,+00.607,+00.087,-09.626,-00.000177,+00.000214,+00.001508*61
"
1700075610.2041698,0,1700075610,196472406,IMU1_Frame,0,1700075610,196472406,IMU1_Frame,-0.03131889826013819,-0.0020573781202745615,0.9986926023605057,0.040348231651987136,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000578,-0.000236,0.001574,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.612,0.101,-9.682,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,196472406,IMU1_Frame,-2.399e-05,-1.26e-06,3.121e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.361,+003.577,-000.381,-00.2399,-00.0126,+00.3121,+00.612,+00.101,-09.682,-00.000578,-00.000236,+00.001574*6A
"
1700075610.226087,0,1700075610,221315383,IMU1_Frame,0,1700075610,221315383,IMU1_Frame,-0.03132757751609317,-0.002057570975513503,0.9986930354176317,0.04033076117520022,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000772,-4.7e-05,0.001286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.632,0.061,-9.695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,221315383,IMU1_Frame,-2.3860000000000002e-05,-1.26e-06,3.137e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.363,+003.578,-000.381,-00.2386,-00.0126,+00.3137,+00.632,+00.061,-09.695,-00.000772,-00.000047,+00.001286*6B
"
1700075610.254084,0,1700075610,246252059,IMU1_Frame,0,1700075610,246252059,IMU1_Frame,-0.03133627472865464,-0.002057490673679406,0.9986931162552327,0.04032200593560045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000433,-0.000866,-0.000188,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.648,0.013,-9.724,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,246252059,IMU1_Frame,-2.374e-05,-1.33e-06,3.137e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.364,+003.579,-000.381,-00.2374,-00.0133,+00.3137,+00.648,+00.013,-09.724,-00.000433,-00.000866,-00.000188*60
"
1700075610.2949305,0,1700075610,271532297,IMU1_Frame,0,1700075610,271532297,IMU1_Frame,-0.03134426833888543,-0.0020399800388239686,0.9986932326965037,0.04031379776141538,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000232,-0.000256,2e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.619,0.041,-9.699,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,271532297,IMU1_Frame,-2.405e-05,-1.5800000000000001e-06,3.1280000000000005e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.365,+003.580,-000.379,-00.2405,-00.0158,+00.3128,+00.619,+00.041,-09.699,-00.000232,-00.000256,+00.000020*6D
"
1700075610.3386233,0,1700075610,296411275,IMU1_Frame,0,1700075610,296411275,IMU1_Frame,-0.03133518363183889,-0.002031891850769363,0.9986938733919387,0.04030539581336559,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00039,-0.00075,0.000493,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.595,0.038,-9.695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,296411275,IMU1_Frame,-2.399e-05,-1.26e-06,3.1280000000000005e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.366,+003.579,-000.378,-00.2399,-00.0126,+00.3128,+00.595,+00.038,-09.695,-00.000390,-00.000750,+00.000493*61
"
1700075610.3386602,0,1700075610,321120738,IMU1_Frame,0,1700075610,321120738,IMU1_Frame,-0.031326116722703364,-0.0020235301274088716,0.998694162175209,0.04030570895116742,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000215,-0.000383,7.8e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.568,0.037,-9.696,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,1700075610,321120738,IMU1_Frame,-2.374e-05,-1.66e-06,3.116e-05,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,+175.366,+003.578,-000.377,-00.2374,-00.0166,+00.3116,+00.568,+00.037,-09.696,-00.000215,-00.000383,+00.000078*6C
"
